,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-452-5p,hsa-miR-2110,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-128-3p,0.008081827,0.35882837,-0.48625714,-0.0903696,-0.10672776,-0.057373792,-0.05343565,-0.04089971,-0.00478356,-0.054968867,-0.06265481,0.011801106,-0.0049808896,0.4982489,0.020778239,-0.027308047,-0.019142896,-0.0015180716,-0.2831999,-0.0644944,0.0,0.36088872,-0.057914276,-0.05335605,-0.06608925,-0.022794914,0.24191383,0.05825258,0.22080965,-0.15703413,-0.24188225,-0.05739963,0.0861414,-0.030581094,-0.021856125,-0.121677145,-0.107217595,-0.02764416,-0.028749388,-0.022729563,-0.07814871,-0.023908893,-0.31280008,-0.14602685
hsa-miR-3714,-0.35810277,-0.15220897,-0.052259658,0.4400318,0.5064839,0.11581852,-0.033922255,0.11511372,-0.1691473,-0.2697662,-0.15719594,-0.16766083,0.04263487,0.051365852,-0.41303998,-0.41296986,-0.3625458,-0.3538251,-0.32572064,-0.31102,0.36088872,0.0,-0.06724313,-0.40120274,-0.17942967,-0.35912988,-0.29652607,0.1746955,-0.12538853,0.10005531,-0.047510147,-0.26322997,-0.24016914,0.16587254,-0.08592221,-0.361329,-0.327738,-0.29108164,-0.121569574,-0.19990508,-0.2862057,-0.33627203,0.2305561,0.16752435
hsa-miR-204-5p,0.040282875,0.54517645,0.42000753,-0.026780771,-0.022324443,-0.0227615,0.016044302,-0.016058516,0.009223618,-0.05726078,-0.018853597,-0.03332192,-0.04217939,0.57592,-0.00024131213,-0.0025208623,0.03646048,-0.055374213,-0.14617367,-0.12027962,-0.057914276,-0.06724313,0.0,-0.024064483,-0.07375171,0.05278597,0.17856747,-0.13915217,0.07510951,-0.23581098,0.10666836,-0.009944437,0.1350265,0.13157776,-0.022174498,-0.09571647,-0.15031196,-0.07526232,-0.02842536,-0.0053679706,-0.18148999,-0.032912157,-0.6851248,-0.082800545
hsa-miR-211-5p,-0.04539788,-0.27757174,0.22570293,-0.04544085,-0.06784681,-0.035959918,-0.03713627,-0.050025944,0.0036522888,-0.08232705,0.010188022,-0.03378372,-0.034364175,0.4420656,-0.04699255,-0.035902493,-0.033699635,-0.05224597,-0.2818377,-0.066874705,-0.05335605,-0.40120274,-0.024064483,0.0,0.0017621677,0.011831447,0.19603027,-0.22289868,-0.07870657,-0.2460025,-0.28524166,-0.07769467,0.23746966,-0.19235662,-0.0027285714,-0.17487453,-0.20631622,-0.06333583,-0.042931896,-0.039603114,-0.10555661,0.0066303723,-0.8138505,-0.026331365
hsa-miR-200a-3p,0.07978464,0.31750372,0.1112778,-0.101041295,-0.097714014,-0.026769262,-0.04415404,-0.021776848,-0.0028204718,0.0895882,0.01967761,-0.061146926,-0.05354611,0.2013201,0.044790957,-0.029498335,-0.001762088,-0.00094018836,-0.09753055,-0.059124406,-0.06608925,-0.17942967,-0.07375171,0.0017621677,0.0,-0.03175143,-0.015518007,-0.02324284,0.14798744,-0.088068046,-0.111616276,-0.11013058,0.05525504,0.19227178,-0.056935687,-0.14312343,-0.16872483,-0.061407547,-0.023829278,-0.063015975,-0.099897996,0.02760734,-0.57796884,0.056555785
hsa-miR-135b-5p,0.06867262,-0.5050359,-0.824838,0.030079188,-0.007507556,0.013890026,0.038071353,0.028271785,0.13575846,0.07734966,0.08036226,0.17552836,0.13048038,-0.10111817,-0.0061196904,-0.15436387,-0.11447645,0.007749454,-0.13079466,-0.012775661,-0.022794914,-0.35912988,0.05278597,0.011831447,-0.03175143,0.0,-0.08806529,-0.17948644,-0.20086804,-0.15264292,-0.16749384,-0.065383054,-0.061295513,-0.03647965,0.1763018,-0.1719168,-0.12451086,-0.096700706,0.20911318,0.11664015,0.06844256,-0.07334785,-0.43576232,-0.13788992
hsa-miR-449b-5p,0.02368987,-0.4779233,-0.63470274,0.18187888,0.34365162,0.27229193,0.20327201,0.30160898,0.13999029,0.2832353,0.29834834,0.13504414,0.03588638,0.7565379,-0.14519481,-0.19125985,-0.141799,0.31805596,-0.24836114,-0.053403396,0.24191383,-0.29652607,0.17856747,0.19603027,-0.015518007,-0.08806529,0.0,-0.24580505,-0.20600252,-0.20271139,-0.29083484,0.2090879,0.15244801,-0.10146157,0.16175586,0.06395439,-0.19057523,-0.008635066,0.011821337,0.039313488,-0.122618325,-0.050007068,-0.5632201,-0.09021779
hsa-miR-34a-5p,-0.10198683,0.23642133,-0.100884795,-0.206069,-0.22885272,-0.30989844,-0.24865969,-0.23449367,-0.14098462,-0.18930902,-0.16346312,-0.0067478325,-0.024473011,0.42350477,-0.2028422,-0.13136886,-0.2036436,-0.17500779,-0.05517438,0.04326022,0.05825258,0.1746955,-0.13915217,-0.22289868,-0.02324284,-0.17948644,-0.24580505,0.0,0.07311396,0.03774563,-0.110360645,-0.32737657,-0.11929143,0.08644854,-0.09431242,-0.008961836,-0.11892208,-0.12039595,0.027362809,-0.030551834,0.0018642242,-0.31002143,0.027771505,-0.07009794
hsa-miR-449a,0.030603705,0.072427474,0.18391877,0.092530936,0.12452892,-0.1271271,-0.07609226,-0.053883452,0.04840316,-0.028604269,-0.066449255,0.20601217,0.26691946,0.84994286,-0.06308083,-0.2005406,-0.18527997,0.11604039,-0.05904802,0.18212381,0.22080965,-0.12538853,0.07510951,-0.07870657,0.14798744,-0.20086804,-0.20600252,0.07311396,0.0,-0.005458141,-0.264143,-0.09208884,-0.11764264,-0.020108776,0.012060597,-0.0830663,-0.13804743,-0.095321424,-0.15888259,0.031926762,0.0127655035,-0.20239471,-0.3366097,0.16370787
hsa-miR-103a-3p,-0.14605974,-0.18313839,0.3118984,-0.26383862,-0.25793058,-0.29718173,-0.23874877,-0.25440726,-0.23742181,-0.20338735,-0.2552756,-0.21912096,-0.19276302,0.29274887,-0.093219936,0.004674589,-0.005881959,-0.23768573,0.017673396,-0.00013474285,-0.15703413,0.10005531,-0.23581098,-0.2460025,-0.088068046,-0.15264292,-0.20271139,0.03774563,-0.005458141,0.0,-0.04335544,-0.29053003,-0.109947726,-0.010337268,-0.14197712,-0.005896129,-0.034486625,-0.17712207,-0.10972388,-0.06714595,-0.082549065,-0.24781086,-0.12365076,-0.05676998
