,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-2110,hsa-miR-452-5p,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-449a,0.07463587,0.009209847,0.013425121,0.15584135,0.21136145,0.41531926,0.18801868,0.19331662,0.11824105,0.1507464,0.16741186,0.044210088,0.08127211,0.064797714,0.031865906,0.0079808775,-0.010993155,0.27913645,0.0412013,0.053061984,0.064438365,-0.010516738,0.0992829,0.072974734,0.08796645,-0.010646739,0.00025490945,0.05029701,0.0,0.038355693,-0.0070089814,-0.0034218126,0.23442608,0.015826698,0.114426516,0.053147607,4.473603e-05,0.04179069,-0.0011931311,0.0013390406,0.071810335,0.020801585,0.017868211,0.059901536
hsa-miR-103a-3p,0.023913212,0.017671188,0.0075859246,0.56233275,0.48816478,0.6966835,0.5553873,0.5985985,0.56767106,0.3963153,0.629673,0.3114592,0.37706542,0.03338267,-0.04619493,0.007783681,0.052328583,0.50112945,0.05918599,0.27855274,0.32065213,-0.009191592,0.45989722,0.30047867,0.2000494,0.013452351,0.0047784364,0.05664744,0.038355693,0.0,-0.0014500509,0.012492035,0.5487491,0.005593839,0.42782104,-0.05617439,0.04359239,0.006268329,0.016835641,0.07379927,0.15218599,0.0021874006,0.03319823,0.07849216
hsa-miR-107,0.040529847,0.01458318,-0.00970309,0.3838472,0.5328614,0.4863653,0.56240606,0.5874888,0.045004193,0.23043036,0.111589015,0.063036844,0.046523206,0.044576563,0.10349854,0.08147838,0.08340613,0.24483168,0.16275583,0.17545153,0.27499634,0.0029375253,0.18832584,0.35149089,0.31088522,-0.011964481,0.0122660855,-0.015510423,-0.0070089814,-0.0014500509,0.0,0.030918878,0.45399478,-0.017433353,0.08854589,0.05170874,0.10032085,0.03306993,0.0016835479,0.04525493,0.07594042,0.04835222,-0.00078062376,0.09632065
hsa-miR-2110,0.013231047,0.026841948,3.5060273e-06,0.14383498,0.14151011,0.15725625,0.10311689,0.099093944,0.023293328,0.04505829,0.04030766,-0.0006887961,0.012476631,0.03368885,0.044847935,0.04136769,0.070551,0.2183253,0.03038688,0.06878256,0.03786584,-0.0039073937,0.012269172,0.08829941,0.03640463,0.0062839966,0.007970664,0.017109439,-0.0034218126,0.012492035,0.030918878,0.0,0.31249866,0.009174604,0.093590364,0.0433126,0.037724428,0.021032907,0.008554863,0.010169182,0.021625658,0.004496631,0.0076463465,0.028780734
hsa-miR-452-5p,0.37648752,0.61572266,0.5656709,0.2474513,-0.13634744,0.09876619,0.14150268,0.26887625,0.17033164,-0.012820389,0.33814156,0.12781085,0.1719048,0.32538733,0.4184431,0.2907151,0.34793037,0.10102231,-0.17908832,0.074966714,0.1455168,0.06310885,0.18236458,0.36729673,0.19533795,0.39042583,0.16907342,0.6105973,0.23442608,0.5487491,0.45399478,0.31249866,0.0,0.113255784,0.021303723,0.3846286,0.2854548,0.02377056,-0.11940329,-0.10909273,0.2508123,0.3381054,0.42060426,0.51708084
hsa-miR-34b-5p,0.0066054543,0.014756518,-0.0011630122,0.073618844,0.06661665,0.026587939,0.052822016,0.06430912,0.02406674,0.0277936,0.02089459,-0.006883086,-0.005988119,0.018662216,-0.016816743,-0.001991853,-0.010592271,0.10291316,0.03573102,0.009096197,-0.0040747877,-0.0071882494,0.022441644,0.030085515,0.042487223,-0.008514103,0.006373799,-0.0011406726,0.015826698,0.005593839,-0.017433353,0.009174604,0.113255784,0.0,0.025352854,0.013077946,0.018387185,0.0029522735,0.014611789,0.009992095,0.0048126034,0.005865385,-0.0033461652,-0.0089701265
hsa-miR-143-5p,-0.014826593,0.05603604,0.019593336,0.17508835,0.09529088,0.17413291,0.10423249,0.21077077,0.1037787,0.044521295,0.21417324,-0.11424214,-0.113936506,0.039819065,0.18483417,0.00091841724,0.07391025,0.040829834,-0.17292075,0.28823772,0.010316056,-0.009598871,0.0863751,-0.0019184231,0.14152196,0.18945986,0.03203368,0.24917053,0.114426516,0.42782104,0.08854589,0.093590364,0.021303723,0.025352854,0.0,-0.056596193,-0.06846472,-0.15042779,0.0051838863,0.0060379505,0.37742016,0.107812315,0.18391162,0.15507987
hsa-miR-18a-5p,0.076870285,0.1309654,0.086826876,0.19413133,0.2652239,0.24110149,0.110701166,0.25719234,0.12000769,0.035490647,0.05420971,0.015062459,0.114487186,0.096678495,0.083896324,0.10123045,0.034235,0.33909786,-0.095794514,0.045397338,0.16484813,-0.025185036,0.23713727,0.16333795,0.120280616,0.023772392,0.040583808,0.08039302,0.053147607,-0.05617439,0.05170874,0.0433126,0.3846286,0.013077946,-0.056596193,0.0,-0.078566715,-0.24259396,0.012600304,0.0347432,0.078446515,0.018991848,-0.027638981,0.3370221
hsa-miR-18b-5p,0.1048413,0.126852,0.030963138,0.4332691,0.45822996,0.360488,0.43391788,0.34332195,0.048956167,0.13498364,-0.0034214398,0.09998184,0.20661478,0.020398127,0.026526414,0.018921362,0.0754597,0.23918071,0.14713292,0.24391599,0.25578222,-0.025903119,0.27751604,0.28633678,0.16701455,0.085525244,0.019251585,0.07755009,4.473603e-05,0.04359239,0.10032085,0.037724428,0.2854548,0.018387185,-0.06846472,-0.078566715,0.0,-0.12751433,0.19227752,0.020807816,0.11370085,0.0013992838,-0.048316497,0.121367745
hsa-miR-873-5p,-0.0077100545,0.003367797,0.004912562,0.26086766,0.3991258,0.17772594,0.20056255,0.21063738,0.36574957,0.29204404,0.1233873,0.05678593,0.19483177,0.027586237,0.03413275,-0.086343266,-0.045825914,-0.018635526,-0.03659413,0.03710261,0.21411909,-0.016983064,0.3785851,0.10141594,-0.17302835,-0.022304287,0.0064644883,0.12655409,0.04179069,0.006268329,0.03306993,0.021032907,0.02377056,0.0029522735,-0.15042779,-0.24259396,-0.12751433,0.0,0.025256412,-0.12700891,-0.13971993,0.022432406,0.18171978,0.04725407
hsa-miR-10a-5p,-0.022334062,0.0077453987,0.0074828495,0.16992083,0.043846495,0.061111066,-0.063311286,-0.032709345,0.116087005,0.008530769,-0.025393905,0.05712268,0.037819874,0.027058987,0.036135633,0.07152764,0.07300538,-0.041769583,-0.19536667,0.21422489,0.023316244,-0.006679197,0.14837526,0.21746533,-0.039787054,0.17855379,0.0068807346,0.07773562,-0.0011931311,0.016835641,0.0016835479,0.008554863,-0.11940329,0.014611789,0.0051838863,0.012600304,0.19227752,0.025256412,0.0,-0.05754883,0.08989457,0.0049162298,0.0037416185,0.025380472
hsa-miR-10b-5p,-0.038488425,0.026686648,-0.0034383165,0.04081763,-0.0047340384,0.07830283,0.048319366,-0.089136966,-0.08498277,0.0063248705,-0.06247832,0.08076636,0.15003903,0.02206176,0.07953021,-0.034776844,-0.007162995,-0.23734981,-0.07946117,0.31567064,-0.07137237,-0.007645219,0.09129152,0.13651049,0.07341073,0.06852434,0.00543082,0.061194696,0.0013390406,0.07379927,0.04525493,0.010169182,-0.10909273,0.009992095,0.0060379505,0.0347432,0.020807816,-0.12700891,-0.05754883,0.0,0.020357847,0.010229966,0.02572826,0.041729085
hsa-miR-196a-5p,0.03815913,0.011898483,0.00408304,0.5731586,0.47838104,0.46746624,0.4964668,0.46570808,0.3794118,0.42645085,0.41431504,0.2179483,0.17953186,0.05108941,-0.011086799,0.24846248,0.26636425,0.10400925,0.16694154,0.1913804,0.019091912,-0.017650146,0.31848696,0.033446796,0.23870863,0.031759687,0.004668318,0.101479135,0.071810335,0.15218599,0.07594042,0.021625658,0.2508123,0.0048126034,0.37742016,0.078446515,0.11370085,-0.13971993,0.08989457,0.020357847,0.0,0.063797586,0.051139828,0.05199094
hsa-miR-193b-3p,0.026643325,0.0011090962,0.0015392833,0.3238415,0.34579954,0.3652991,0.18658523,0.4333586,0.09340106,0.08251579,0.11006303,0.03344129,0.107037514,0.0027325274,0.04920601,0.0333708,0.047720812,0.1937935,0.04918783,0.022883113,0.18887301,0.0052411547,0.032054115,0.090163335,0.14640445,0.01357546,-0.0025514038,0.011073485,0.020801585,0.0021874006,0.04835222,0.004496631,0.3381054,0.005865385,0.107812315,0.018991848,0.0013992838,0.022432406,0.0049162298,0.010229966,0.063797586,0.0,-0.003403303,0.06109338
hsa-miR-3937,0.046713553,-0.010797617,-0.008524306,0.709753,0.6533049,0.57743895,0.54382014,0.7181937,0.37559667,0.51157236,0.537712,-0.020453373,-0.035907723,0.0038409154,0.05062721,0.050485417,0.01361641,0.41930684,0.2554693,0.1940563,0.22841871,0.019693306,0.49029517,0.29734486,0.18936059,-0.018944548,0.023363866,-0.023884315,0.017868211,0.03319823,-0.00078062376,0.0076463465,0.42060426,-0.0033461652,0.18391162,-0.027638981,-0.048316497,0.18171978,0.0037416185,0.02572826,0.051139828,-0.003403303,0.0,0.027906716
hsa-miR-450b-3p,0.0582091,0.12910582,0.088971145,0.24525395,0.28305638,0.3071739,0.21154109,0.39925557,0.17119841,0.13468209,0.09138288,0.052655023,0.10507782,0.14443439,0.21861471,0.24883465,0.12904868,0.44877082,0.19240595,0.09093842,0.1300758,-0.018715175,0.09654019,0.10507646,0.17822273,0.08275668,0.0083005205,0.031947408,0.059901536,0.07849216,0.09632065,0.028780734,0.51708084,-0.0089701265,0.15507987,0.3370221,0.121367745,0.04725407,0.025380472,0.041729085,0.05199094,0.06109338,0.027906716,0.0
