,hsa-miR-340-5p,hsa-miR-124-3p,hsa-miR-506-3p,hsa-miR-19a-3p,hsa-miR-19b-3p,hsa-miR-106b-5p,hsa-miR-20a-5p,hsa-miR-106a-5p,hsa-miR-17-5p,hsa-miR-20b-5p,hsa-miR-93-5p,hsa-miR-27a-3p,hsa-miR-27b-3p,hsa-miR-137,hsa-miR-429,hsa-miR-200b-3p,hsa-miR-200c-3p,hsa-miR-92a-3p,hsa-miR-25-3p,hsa-miR-363-3p,hsa-miR-128-3p,hsa-miR-3714,hsa-miR-204-5p,hsa-miR-211-5p,hsa-miR-200a-3p,hsa-miR-135b-5p,hsa-miR-449b-5p,hsa-miR-34a-5p,hsa-miR-449a,hsa-miR-103a-3p,hsa-miR-107,hsa-miR-452-5p,hsa-miR-2110,hsa-miR-34b-5p,hsa-miR-143-5p,hsa-miR-18a-5p,hsa-miR-18b-5p,hsa-miR-873-5p,hsa-miR-10a-5p,hsa-miR-10b-5p,hsa-miR-196a-5p,hsa-miR-193b-3p,hsa-miR-3937,hsa-miR-450b-3p
hsa-miR-452-5p,0.4503234,0.6229144,0.5785176,0.7081812,0.32438245,0.5594961,0.6022326,0.72960615,0.63106155,0.4479095,0.79887146,0.58854073,0.6326347,0.34262726,0.64131975,0.48680675,0.5036083,0.5617522,0.25430545,0.41438612,0.6062467,0.09879379,0.6430945,0.7615213,0.65606785,0.4740255,0.18712246,0.69860756,0.27649176,0.76164854,0.506417,0.4607299,0.3199445,0.14178285,0.4820336,0.6778549,0.56720424,0.48450047,0.3413266,0.35163715,0.6196619,0.3455649,0.53014964,0.54382294
hsa-miR-2110,0.020676881,0.03403369,0.0074493405,0.1512808,0.14895594,0.16470209,0.11056273,0.10653978,0.030739162,0.052504126,0.047753494,0.0067570386,0.019922467,0.041134685,0.05229377,0.048813526,0.077996835,0.22577113,0.037832715,0.076228395,0.045311674,0.0035384411,0.019715007,0.09574524,0.043850463,0.013729831,0.015416498,0.024555273,0.004024022,0.01993787,0.038364712,0.3199445,0.0074458346,0.016620439,0.1010362,0.050758436,0.045170262,0.028478742,0.016000697,0.017615017,0.029071493,0.011942466,0.015092181,0.036226567
hsa-miR-34b-5p,0.035132516,0.02194826,0.011683701,0.10214591,0.095143706,0.055115003,0.081349075,0.09283619,0.052593805,0.056320664,0.049421653,0.021643976,0.022538943,0.03590217,0.011710321,0.02653521,0.017934792,0.13144022,0.06425808,0.03762326,0.024452275,0.021338813,0.050968707,0.058612578,0.071014285,0.02001296,0.024422845,0.02738639,0.04435376,0.034120902,0.01109371,0.14178285,0.016620439,0.028527062,0.053879917,0.04160501,0.04691425,0.031479336,0.04313885,0.038519155,0.033339668,0.013324879,0.025180897,0.01777194
hsa-miR-143-5p,0.05900928,0.06322778,0.032440048,0.81484765,0.73505014,0.8138922,0.7439918,0.85053,0.74353796,0.6842806,0.8539325,0.52551717,0.42313227,0.057059016,0.4077108,0.19701007,0.2295882,0.68058914,0.26047304,0.6276571,0.572038,0.026086072,0.7261344,0.39230615,0.64984596,0.27305952,0.05008272,0.33718076,0.1564922,0.6407205,0.14096808,0.4820336,0.1010362,0.053879917,0.6397593,0.23663011,0.21328472,0.32868972,0.6449432,0.64579725,0.74626976,0.115271814,0.29345703,0.18182194
hsa-miR-18a-5p,0.15070616,0.13815714,0.099673584,0.48735765,0.5584502,0.5343278,0.40392748,0.5504187,0.413234,0.32871696,0.347436,0.30828875,0.4077135,0.113918446,0.30677295,0.2973221,0.18991295,0.63232416,0.19743179,0.33862364,0.45807442,0.010499908,0.53036356,0.45656425,0.41350693,0.10737204,0.058632854,0.16840325,0.095213294,0.15672503,0.104130924,0.6778549,0.050758436,0.04160501,0.23663011,0.2932263,0.20318271,0.050632343,0.3058266,0.3279695,0.3716728,0.026451344,0.08190643,0.36376417
hsa-miR-18b-5p,0.17867717,0.13404374,0.04380985,0.7150186,0.7399794,0.6422374,0.7156673,0.62507135,0.3307056,0.4167331,0.278328,0.38173127,0.48836422,0.03763808,0.24940303,0.21501301,0.23113763,0.5209302,0.42888236,0.5256654,0.5375317,0.0097818235,0.55926543,0.5680862,0.448764,0.16912489,0.03730063,0.16556033,0.04211043,0.2564918,0.15274304,0.56720424,0.045170262,0.04691425,0.21328472,0.20318271,0.28174943,0.15423511,0.47402695,0.30255726,0.3954503,0.0088587785,0.061228912,0.14810981
hsa-miR-873-5p,0.06612582,0.010559538,0.017759275,0.73998517,0.8782433,0.6568435,0.67968005,0.6897549,0.8448671,0.77116156,0.60250485,0.53590345,0.6739493,0.044826187,0.25700936,0.109748386,0.10985202,0.460482,0.39679965,0.37652203,0.6932366,0.01870188,0.8577026,0.49564052,0.30608916,0.06129536,0.024513533,0.21456434,0.08385638,0.21916775,0.08549212,0.48450047,0.028478742,0.031479336,0.32868972,0.050632343,0.15423511,0.4791175,0.5043739,0.3521086,0.22912969,0.0298919,0.2912652,0.073996134
hsa-miR-10a-5p,0.05150181,0.014937141,0.020329561,0.9021935,0.7761192,0.7933837,0.66896135,0.6995633,0.84835964,0.675605,0.7068787,0.7862103,0.57488865,0.04429894,0.25901225,0.26761928,0.22868332,0.6391514,0.23802711,0.5536443,0.5850382,0.029005745,0.83616394,0.61168987,0.46853694,0.26215345,0.02492978,0.16574587,0.04087256,0.22973506,0.054105736,0.3413266,0.016000697,0.04313885,0.6449432,0.3058266,0.47402695,0.5043739,0.7322726,0.6747238,0.4587442,0.0123757245,0.113287024,0.052122537
hsa-miR-10b-5p,0.035347447,0.03387839,0.009408396,0.8336341,0.7419926,0.87111926,0.8282448,0.7036795,0.7078337,0.6733991,0.7198531,0.809854,0.6871078,0.039301712,0.30240682,0.1613148,0.14851494,0.44357115,0.35393262,0.6550901,0.49034956,0.028039724,0.77908015,0.5307351,0.5817347,0.15212399,0.023479866,0.14920494,0.043404732,0.2866987,0.09767712,0.35163715,0.017615017,0.038519155,0.64579725,0.3279695,0.30255726,0.3521086,0.6747238,0.79281646,0.38920748,0.01768946,0.13527367,0.06847115
hsa-miR-196a-5p,0.111995,0.019090224,0.016929753,0.94200826,0.8472307,0.8363159,0.86531645,0.8345577,0.7482614,0.7953005,0.7831647,0.58679795,0.5483815,0.068329364,0.21178982,0.44455415,0.42204216,0.47285888,0.53579116,0.5307998,0.38794154,0.018034797,0.68733656,0.40229642,0.60755825,0.115359336,0.022717364,0.18948938,0.11387602,0.36508542,0.12836261,0.6196619,0.029071493,0.033339668,0.74626976,0.3716728,0.3954503,0.22912969,0.4587442,0.38920748,0.36884964,0.07125708,0.16068524,0.07873301
hsa-miR-193b-3p,0.03410282,0.008300838,0.008998778,0.331301,0.35325903,0.37275863,0.19404472,0.4408181,0.10086056,0.08997529,0.11752252,0.040900785,0.11449701,0.010192022,0.056665506,0.040830296,0.055180307,0.20125301,0.056647327,0.030342609,0.1963325,0.012700649,0.03951361,0.097622834,0.15386394,0.021034954,0.004908091,0.01853298,0.028261079,0.009646895,0.055811714,0.3455649,0.011942466,0.013324879,0.115271814,0.026451344,0.0088587785,0.0298919,0.0123757245,0.01768946,0.07125708,0.0074594948,0.0040561915,0.068552874
hsa-miR-3937,0.120549425,-0.0036058752,0.0043224064,0.8192984,0.7628503,0.68698436,0.65336555,0.8277391,0.48514208,0.6211178,0.6472574,0.08909204,0.07363769,0.021080866,0.16017261,0.16003083,0.123161815,0.5288522,0.3650147,0.3036017,0.33796412,0.055378247,0.5998406,0.40689027,0.298906,0.064655095,0.041412912,0.064125925,0.0599339,0.14274365,0.051641565,0.53014964,0.015092181,0.025180897,0.29345703,0.08190643,0.061228912,0.2912652,0.113287024,0.13527367,0.16068524,0.0040561915,0.10954541,0.054648783
hsa-miR-450b-3p,0.08495117,0.13629755,0.101817854,0.27199602,0.30979845,0.33391598,0.23828314,0.42599764,0.19794048,0.16142416,0.11812495,0.07939709,0.13181987,0.16167434,0.24535678,0.27557674,0.15579075,0.47551286,0.21914802,0.11768048,0.15681785,0.008026892,0.123282254,0.13181853,0.2049648,0.109498754,0.026349565,0.058689475,0.08664361,0.10523423,0.12306272,0.54382294,0.036226567,0.01777194,0.18182194,0.36376417,0.14810981,0.073996134,0.052122537,0.06847115,0.07873301,0.068552874,0.054648783,0.026742065
