module,module_display,category,n_module_genes,n_targets_A,n_targets_B,n_union,n_overlap,coverage_A,coverage_B,coverage_union,incremental_coverage,complementarity,mirA,mirB
Retinoid response,Retinoid response (GO),nb_differentiation,89,15,4,16,3,0.16853932584269662,0.0449438202247191,0.1797752808988764,0.011235955056179775,0.8125,hsa-miR-128-3p,hsa-miR-449a
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,39,0,39,0,0.06842105263157895,0.0,0.06842105263157895,0.0,1.0,hsa-miR-204-5p,hsa-miR-2110
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,31,0,31,0,0.10580204778156997,0.0,0.10580204778156997,0.0,1.0,hsa-miR-204-5p,hsa-miR-2110
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,43,0,43,0,0.10023310023310024,0.0,0.10023310023310024,0.0,1.0,hsa-miR-204-5p,hsa-miR-2110
Retinoid response,Retinoid response (GO),nb_differentiation,89,4,0,4,0,0.0449438202247191,0.0,0.0449438202247191,0.0,1.0,hsa-miR-204-5p,hsa-miR-2110
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,39,31,67,3,0.06842105263157895,0.054385964912280704,0.11754385964912281,0.04912280701754386,0.9552238805970149,hsa-miR-211-5p,hsa-miR-449b-5p
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,31,31,60,2,0.10580204778156997,0.10580204778156997,0.20477815699658702,0.09897610921501705,0.9666666666666667,hsa-miR-211-5p,hsa-miR-449b-5p
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,43,31,68,6,0.10023310023310024,0.07226107226107226,0.1585081585081585,0.05827505827505826,0.9117647058823529,hsa-miR-211-5p,hsa-miR-449b-5p
Retinoid response,Retinoid response (GO),nb_differentiation,89,4,4,8,0,0.0449438202247191,0.0449438202247191,0.0898876404494382,0.0449438202247191,1.0,hsa-miR-211-5p,hsa-miR-449b-5p
MYCN transcriptional targets,MYCN targets (Wei et al.),mycn,570,39,0,39,0,0.06842105263157895,0.0,0.06842105263157895,0.0,1.0,hsa-miR-211-5p,hsa-miR-2110
Adrenergic identity (ADRN),Adrenergic (ADRN),nb_differentiation,293,31,0,31,0,0.10580204778156997,0.0,0.10580204778156997,0.0,1.0,hsa-miR-211-5p,hsa-miR-2110
Mesenchymal identity (MES),Mesenchymal (MES),nb_undifferentiated,429,43,0,43,0,0.10023310023310024,0.0,0.10023310023310024,0.0,1.0,hsa-miR-211-5p,hsa-miR-2110
Retinoid response,Retinoid response (GO),nb_differentiation,89,4,0,4,0,0.0449438202247191,0.0,0.0449438202247191,0.0,1.0,hsa-miR-211-5p,hsa-miR-2110
