combination,ci,log2_ci,neglog10_p_nl,same_family,dual_positive,nl_synergy,cbca_improvement
hsa-miR-204-5p + hsa-miR-20a-5p,0.964749734115071,-0.051773353727384945,0.043642835373447895,False,False,0.0034201706524350645,-0.40202424629730127
hsa-miR-200b-3p + hsa-miR-27b-3p,1.1071151109664294,0.1468052324055129,0.4255141473255905,False,False,-0.02683117424685677,-0.03310837859841098
hsa-miR-18a-5p + hsa-miR-27a-3p,1.2111912215592575,0.27642665414597434,0.6116918699762703,False,False,-0.06396113767037304,-0.04508257361767423
hsa-miR-17-5p + hsa-miR-200a-3p,1.0265327629134804,0.037779673368100904,0.055943194104743056,False,False,-0.004864343478029165,-0.21192350830403642
hsa-miR-17-5p + hsa-miR-18b-5p,1.046604642619244,0.0657165637106932,0.12385750965315531,False,False,-0.014760752641626074,-0.06311613163708421
hsa-miR-506-3p + hsa-miR-93-5p,1.0254678998327453,0.03628233191826815,0.041727920797434016,False,False,-0.027740889056816487,0.16110106042497357
hsa-miR-211-5p + hsa-miR-449b-5p,0.3809697036944517,-1.3922518217558002,2.5562722952809214,False,True,0.16940854247209536,0.1336457602521149
hsa-miR-20a-5p + hsa-miR-449b-5p,0.38584827609542655,-1.373894434843434,2.694192288717554,False,True,0.16594835530028051,0.090997136727094
hsa-miR-103a-3p + hsa-miR-449a,0.9574394553194888,-0.06274683528791157,0.09339538657069539,False,False,0.014335731562784892,0.13185739318116035
hsa-miR-204-5p + hsa-miR-429,1.0518924019160987,0.07298713888773954,0.12840123894960825,False,False,-0.010869146568260657,-0.08482687279893539
hsa-miR-19b-3p + hsa-miR-429,0.8803254347946529,-0.18389114344224447,0.3762365980207145,False,False,0.029951708375058034,-0.10582364138891295
hsa-miR-34b-5p + hsa-miR-363-3p,1.6784629635451527,0.7471407033153281,0.8165621775395846,False,False,-0.21884296802398623,0.16727418892299217
hsa-miR-124-3p + hsa-miR-211-5p,1.7299648941576469,0.7907427618281556,1.1521203758209675,False,False,-0.33619521305904226,-0.08961003343279841
hsa-miR-19b-3p + hsa-miR-204-5p,1.598415497952403,0.6766424764253275,0.39281158916357434,False,False,-0.03127377792494705,-0.5201613318876313
hsa-miR-200b-3p + hsa-miR-27a-3p,1.0826414083052935,0.11455547366975602,0.5471607788532873,False,False,-0.021168729422215482,0.029075527127407352
hsa-miR-18a-5p + hsa-miR-25-3p,1.6443227403932443,0.7174934926128547,1.2997256888991362,False,False,-0.1437372820935228,0.013390481917090774
hsa-miR-17-5p + hsa-miR-196a-5p,2.6852742783213124,1.425069454975891,1.1070114301425824,False,False,-0.14030388458667759,-0.377193122684482
hsa-miR-10b-5p + hsa-miR-17-5p,0.9912987540898522,-0.012608177648088848,0.012529399075994489,False,False,0.0007164952914866102,-0.3539304839649652
hsa-miR-506-3p + hsa-miR-92a-3p,2.075837180723449,1.0536932896616942,1.0064722494613996,False,False,-0.5788987016724327,-0.10011014746507277
hsa-miR-204-5p + hsa-miR-449b-5p,0.34270111996427005,-1.5449771882235688,1.133046248013039,False,False,0.19996832557371208,0.16487247562948915
hsa-miR-19b-3p + hsa-miR-449b-5p,0.25367852318111395,-1.9789267111246982,2.0873319831971355,False,True,0.3067298768347612,0.10873196580608138
hsa-miR-449a + hsa-miR-93-5p,1.3772463000367228,0.46178658711731335,0.7253783107009427,False,False,-0.08833592844375435,0.03616565192408547
hsa-miR-200b-3p + hsa-miR-429,1.4232131428573684,0.5091517385448596,1.824844363793819,True,False,-0.08246523799359459,0.1115269646036847
hsa-miR-19a-3p + hsa-miR-429,0.9994766865133777,-0.0007551793869980509,0.0010868135428287206,False,False,0.00011535920359392882,-0.14386373014127238
hsa-miR-34a-5p + hsa-miR-363-3p,1.0225827229437203,0.03221755627539791,0.03902819495539955,False,False,-0.008403153051887713,-0.059192446399543325
hsa-miR-107 + hsa-miR-211-5p,3.0293522359346503,1.5990093363014888,0.6482171087800666,False,False,-0.2546999947467926,-0.11098930263516868
hsa-miR-200b-3p + hsa-miR-204-5p,1.104486461719904,0.14337573491839284,0.5726105951528497,False,False,-0.026235016515258114,-0.06012605152036268
hsa-miR-19a-3p + hsa-miR-204-5p,1.2062692777619415,0.27055199872004715,0.2612320217846088,False,False,-0.009265203490506004,-0.5534375015754911
hsa-miR-200b-3p + hsa-miR-25-3p,1.5593264251720829,0.6409229695249427,1.9775114702141103,False,False,-0.10629569181973478,0.017331531704438352
hsa-miR-18a-5p + hsa-miR-20b-5p,1.0757581018372007,0.10535370566975687,0.1335479708757799,False,False,-0.02583256264542466,-0.061232108167262184
hsa-miR-137 + hsa-miR-17-5p,0.4918339483888528,-1.0237567758096033,2.9571067121234766,False,True,0.2622471673016562,0.14668292499531962
hsa-miR-10a-5p + hsa-miR-17-5p,1.15345354492255,0.20595990097845016,0.08633498219382914,False,False,-0.010859586171978602,-0.5324227199701637
hsa-miR-34b-5p + hsa-miR-506-3p,0.9935537882091525,-0.009330021844181099,0.009733439205273298,False,False,0.007247070718193749,0.19648953827386306
hsa-miR-200b-3p + hsa-miR-449b-5p,2.700339380981697,1.4331407378278989,2.8195364921230524,False,False,-0.17462200863316646,0.18965302649571958
