combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-17-5p + hsa-miR-27a-3p,-0.021,1.252,0.151,-0.380,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-143-5p,-0.077,1.253,0.666,0.091,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-340-5p,-0.035,1.253,0.201,-0.385,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-18a-5p,-0.074,1.255,0.191,-0.050,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-429,-0.061,1.257,0.171,0.020,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-92a-3p,-0.017,1.258,0.342,-0.295,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-200b-3p,-0.057,1.258,0.171,0.040,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-2110,-0.062,1.259,0.184,0.187,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-18b-5p,-0.068,1.260,0.523,-0.225,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-196a-5p,-0.068,1.260,0.189,-0.111,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-128-3p,-0.026,1.260,0.657,-0.179,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-450b-3p,-0.107,1.261,0.088,0.075,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-34a-5p,-0.079,1.262,0.486,0.174,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-18a-5p,-0.166,1.263,0.251,0.081,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-363-3p,-0.036,1.264,0.288,0.091,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-27b-3p,-0.069,1.265,0.332,-0.182,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-452-5p,-0.017,1.266,0.456,-0.287,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-450b-3p,-0.110,1.268,0.215,0.110,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-20b-5p,-0.070,1.269,0.239,-0.114,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-450b-3p,-0.110,1.269,0.089,0.081,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-873-5p,-0.053,1.270,0.016,0.107,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-3714,-0.121,1.276,0.589,0.170,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-128-3p,-0.027,1.280,0.666,-0.249,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-363-3p,-0.033,1.281,0.433,-0.257,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-363-3p,-0.081,1.283,0.209,-0.078,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-429,-0.049,1.286,0.381,0.093,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-340-5p,-0.177,1.286,0.326,0.189,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-135b-5p,-0.037,1.287,0.662,0.126,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-34a-5p,-0.086,1.290,0.331,0.181,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-137,-0.057,1.291,0.428,0.170,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-27a-3p,-0.024,1.291,0.103,-0.269,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-93-5p,-0.027,1.293,0.319,-0.380,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-200c-3p,-0.063,1.294,0.101,0.105,TRUE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-211-5p,-0.023,1.295,0.231,-0.223,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-92a-3p,-0.019,1.296,0.318,-0.253,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-3937,-0.182,1.296,0.312,0.211,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-10b-5p,-0.069,1.298,0.161,-0.012,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-196a-5p,-0.069,1.299,0.137,-0.079,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-363-3p,-0.052,1.304,0.378,-0.226,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-93-5p,-0.028,1.307,0.352,0.108,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-449a,-0.076,1.308,0.227,0.139,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-124-3p,-0.188,1.309,0.498,0.187,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-25-3p,-0.070,1.311,0.037,0.016,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-93-5p,-0.029,1.312,0.170,-0.401,TRUE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-204-5p,-0.087,1.313,0.169,-0.226,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-193b-3p,-0.030,1.313,0.614,0.050,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-506-3p,-0.267,1.313,0.332,0.199,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-3714,-0.134,1.314,0.543,0.177,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-506-3p,-0.269,1.318,0.320,0.171,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-93-5p,-0.029,1.320,0.150,-0.499,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-449a,-0.090,1.325,0.396,0.128,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-19b-3p,-0.021,1.329,0.559,-0.383,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-196a-5p,-0.056,1.330,0.347,-0.089,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-10b-5p,-0.023,1.333,0.426,-0.499,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-452-5p,-0.062,1.334,0.054,-0.202,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-18b-5p,-0.083,1.335,0.170,-0.295,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-3937,-0.192,1.335,0.098,0.124,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-2110,-0.042,1.338,0.553,0.194,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-449a,-0.193,1.339,0.095,0.149,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-27a-3p,-0.027,1.343,0.053,-0.384,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-128-3p,-0.032,1.344,0.595,-0.277,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-18a-5p,-0.094,1.345,0.134,-0.060,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-193b-3p,-0.028,1.350,0.270,0.119,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-452-5p,-0.072,1.351,0.147,-0.181,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-873-5p,-0.072,1.352,0.023,0.108,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-873-5p,-0.199,1.353,0.085,-0.055,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-200a-3p,-0.049,1.355,0.164,-0.259,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-200a-3p,-0.078,1.355,0.076,-0.125,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-200b-3p,-0.097,1.359,0.297,-0.030,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-92a-3p,-0.022,1.362,0.331,-0.354,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-18a-5p,-0.098,1.365,0.127,-0.163,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-452-5p,-0.026,1.365,0.370,-0.354,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-27b-3p,-0.031,1.366,0.287,-0.279,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-93-5p,-0.033,1.367,0.113,-0.441,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-363-3p,-0.041,1.368,0.430,-0.275,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-450b-3p,-0.140,1.370,0.189,0.060,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-19b-3p,-0.025,1.370,0.173,-0.456,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-25-3p,-0.080,1.371,0.029,-0.079,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-340-5p,-0.099,1.371,0.188,0.082,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-20b-5p,-0.053,1.372,0.257,-0.329,TRUE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-449a,-0.088,1.375,0.244,0.025,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-450b-3p,-0.142,1.377,0.171,-0.019,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-429,-0.060,1.377,0.146,0.159,FALSE,FALSE,FALSE
hsa-miR-449a + hsa-miR-93-5p,-0.088,1.377,0.188,0.036,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-873-5p,-0.048,1.377,0.141,0.147,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-204-5p,-0.022,1.379,0.402,-0.376,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-18b-5p,-0.092,1.385,0.109,0.069,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-27a-3p,-0.062,1.387,0.326,-0.247,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-34a-5p,-0.106,1.388,0.444,0.130,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-3714,-0.157,1.389,0.507,0.174,FALSE,FALSE,FALSE
hsa-miR-34a-5p + hsa-miR-873-5p,-0.107,1.390,0.276,0.036,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-34a-5p,-0.108,1.398,0.245,0.073,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-20b-5p,-0.056,1.398,0.323,-0.332,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-3714,-0.161,1.405,0.531,0.183,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-200b-3p,-0.110,1.405,0.538,0.098,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-27b-3p,-0.054,1.405,0.141,-0.206,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-92a-3p,-0.028,1.406,0.156,-0.387,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-3937,-0.221,1.407,0.168,-0.072,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-211-5p,-0.029,1.407,0.025,-0.219,FALSE,FALSE,FALSE
hsa-miR-449a + hsa-miR-873-5p,-0.094,1.412,0.153,0.133,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-200a-3p,-0.055,1.412,0.291,-0.319,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-20b-5p,-0.057,1.414,0.229,-0.325,TRUE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-27a-3p,-0.031,1.415,0.063,-0.330,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-25-3p,-0.087,1.419,0.050,-0.231,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-27a-3p,-0.056,1.420,0.135,-0.301,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-429,-0.089,1.421,0.052,0.078,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-429,-0.082,1.423,0.015,0.112,TRUE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-92a-3p,-0.035,1.425,0.425,-0.359,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-452-5p,-0.036,1.435,0.200,-0.279,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-340-5p,-0.053,1.435,0.088,-0.061,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-340-5p,-0.053,1.437,0.094,0.155,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-3714,-0.171,1.440,0.459,0.130,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-34a-5p,-0.117,1.442,0.370,-0.160,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-18b-5p,-0.102,1.446,0.106,0.173,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-18a-5p,-0.113,1.447,0.095,0.113,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-363-3p,-0.103,1.453,0.083,-0.223,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-200c-3p,-0.119,1.454,0.509,0.092,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-92a-3p,-0.069,1.455,0.111,-0.122,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-27a-3p,-0.061,1.457,0.205,-0.433,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-873-5p,-0.039,1.458,0.529,-0.355,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-196a-5p,-0.070,1.460,0.258,-0.088,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-20a-5p,-0.030,1.463,0.378,-0.471,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-20b-5p,-0.062,1.465,0.252,-0.326,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-34b-5p,-0.172,1.467,0.214,0.197,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-124-3p,-0.254,1.468,0.120,-0.271,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-506-3p,-0.356,1.468,0.219,0.165,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-19a-3p,-0.022,1.473,0.079,-0.534,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-3714,-0.181,1.477,0.577,0.169,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-20a-5p,-0.107,1.477,0.111,-0.363,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-204-5p,-0.061,1.483,0.110,-0.252,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-449a,-0.105,1.484,0.126,0.015,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-204-5p,-0.036,1.485,0.341,0.176,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-25-3p,-0.097,1.486,0.024,0.019,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-3714,-0.185,1.493,0.461,0.167,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-10a-5p,-0.099,1.495,0.048,0.028,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-450b-3p,-0.173,1.500,0.096,0.024,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-18a-5p,-0.122,1.501,0.088,-0.004,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-449a,-0.108,1.502,0.179,0.200,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-449a,-0.111,1.502,0.276,0.164,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-449b-5p,-0.075,1.508,0.247,0.182,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-450b-3p,-0.175,1.509,0.054,-0.134,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-449b-5p,-0.112,1.514,0.123,0.168,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-19b-3p,-0.033,1.515,0.050,-0.508,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-25-3p,-0.101,1.516,0.011,-0.142,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-211-5p,-0.034,1.516,0.018,-0.296,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-340-5p,-0.060,1.519,0.077,0.159,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-200b-3p,-0.095,1.520,0.308,-0.166,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-19a-3p,-0.028,1.524,0.043,-0.539,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-19b-3p,-0.029,1.527,0.432,-0.569,TRUE,FALSE,FALSE
hsa-miR-107 + hsa-miR-20a-5p,-0.132,1.533,0.470,-0.286,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-429,-0.088,1.533,0.052,0.189,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-3937,-0.268,1.541,0.120,-0.185,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-363-3p,-0.066,1.542,0.092,-0.139,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-873-5p,-0.053,1.543,0.173,-0.089,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-34b-5p,-0.191,1.546,0.206,0.152,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-25-3p,-0.105,1.550,0.114,0.000,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-34a-5p,-0.135,1.551,0.170,-0.046,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-204-5p,-0.118,1.551,0.089,-0.244,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-452-5p,-0.033,1.554,0.191,-0.271,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-3937,-0.273,1.555,0.045,0.141,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-25-3p,-0.106,1.559,0.011,0.017,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-143-5p,-0.108,1.566,0.212,-0.316,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-450b-3p,-0.189,1.571,0.030,-0.053,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-18b-5p,-0.121,1.574,0.221,-0.173,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-34a-5p,-0.139,1.575,0.220,-0.073,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-18a-5p,-0.135,1.580,0.072,-0.218,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-449a,-0.118,1.581,0.106,0.106,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-200c-3p,-0.092,1.590,0.009,0.167,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-25-3p,-0.110,1.591,0.025,-0.214,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-200c-3p,-0.093,1.591,0.064,0.156,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-2110,-0.296,1.592,0.086,0.175,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-200a-3p,-0.083,1.595,0.201,-0.290,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-204-5p,-0.031,1.598,0.405,-0.520,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-128-3p,-0.047,1.600,0.446,-0.335,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-34a-5p,-0.144,1.608,0.151,0.101,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-34a-5p,-0.145,1.614,0.215,0.118,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-20a-5p,-0.047,1.616,0.436,-0.312,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-873-5p,-0.072,1.617,0.122,-0.034,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-452-5p,-0.207,1.619,0.167,0.074,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-449b-5p,-0.042,1.623,0.148,0.202,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-506-3p,-0.430,1.625,0.170,0.205,TRUE,FALSE,FALSE
hsa-miR-107 + hsa-miR-135b-5p,-0.146,1.626,0.454,0.171,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-27a-3p,-0.041,1.627,0.065,-0.410,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-27b-3p,-0.045,1.628,0.188,-0.354,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-34a-5p,-0.147,1.632,0.150,-0.106,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-19a-3p,-0.143,1.638,0.067,-0.183,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-873-5p,-0.076,1.640,0.140,-0.399,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-363-3p,-0.059,1.640,0.145,-0.165,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-211-5p,-0.049,1.641,0.433,-0.235,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-25-3p,-0.144,1.644,0.050,0.013,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-34b-5p,-0.212,1.645,0.170,0.193,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-449b-5p,-0.098,1.649,0.029,0.178,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-200a-3p,-0.144,1.650,0.064,-0.127,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-363-3p,-0.060,1.660,0.145,-0.230,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-3937,-0.305,1.665,0.034,-0.057,FALSE,FALSE,FALSE
hsa-miR-103a-3p + hsa-miR-135b-5p,-0.119,1.666,0.113,0.124,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-107,-0.152,1.669,0.409,-0.209,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-92a-3p,-0.034,1.670,0.374,-0.364,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-18b-5p,-0.133,1.671,0.047,0.033,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-27b-3p,-0.047,1.671,0.317,-0.457,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-3937,-0.308,1.675,0.075,-0.107,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-92a-3p,-0.100,1.675,0.077,-0.162,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-449a,-0.130,1.677,0.074,0.167,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-363-3p,-0.219,1.678,0.153,0.167,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-200a-3p,-0.076,1.681,0.066,-0.098,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-363-3p,-0.113,1.683,0.010,0.138,FALSE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-873-5p,-0.091,1.687,0.171,0.024,FALSE,FALSE,FALSE
hsa-miR-211-5p + hsa-miR-92a-3p,-0.041,1.687,0.010,-0.264,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-20b-5p,-0.080,1.687,0.139,-0.420,TRUE,FALSE,FALSE
hsa-miR-196a-5p + hsa-miR-27b-3p,-0.091,1.688,0.174,-0.224,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-449a,-0.131,1.688,0.072,-0.157,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-19b-3p,-0.155,1.691,0.401,-0.261,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-452-5p,-0.044,1.698,0.140,-0.241,FALSE,FALSE,FALSE
hsa-miR-204-5p + hsa-miR-27b-3p,-0.048,1.698,0.105,-0.316,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-92a-3p,-0.044,1.699,0.018,-0.425,FALSE,FALSE,FALSE
hsa-miR-27b-3p + hsa-miR-873-5p,-0.048,1.699,0.104,-0.320,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-204-5p,-0.038,1.700,0.192,-0.522,FALSE,FALSE,FALSE
hsa-miR-200b-3p + hsa-miR-340-5p,-0.114,1.701,0.136,0.138,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-193b-3p,-0.157,1.703,0.406,0.159,FALSE,FALSE,FALSE
hsa-miR-25-3p + hsa-miR-34b-5p,-0.224,1.708,0.140,0.140,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-93-5p,-0.052,1.708,0.412,-0.318,FALSE,FALSE,FALSE
hsa-miR-3937 + hsa-miR-450b-3p,-0.317,1.708,0.043,0.156,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-25-3p,-0.123,1.711,0.012,-0.098,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-107,-0.159,1.715,0.395,-0.295,FALSE,FALSE,FALSE
hsa-miR-193b-3p + hsa-miR-873-5p,-0.046,1.725,0.119,0.178,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-93-5p,-0.236,1.730,0.326,0.135,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-211-5p,-0.336,1.730,0.070,-0.090,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-27b-3p,-0.050,1.731,0.096,-0.240,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-450b-3p,-0.221,1.741,0.022,-0.042,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-200b-3p,-0.118,1.744,0.004,0.170,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-506-3p,-0.477,1.744,0.305,0.195,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-18b-5p,-0.142,1.747,0.077,-0.293,FALSE,FALSE,FALSE
hsa-miR-106b-5p + hsa-miR-363-3p,-0.065,1.749,0.124,-0.322,FALSE,FALSE,FALSE
hsa-miR-19a-3p + hsa-miR-200a-3p,-0.081,1.756,0.064,-0.334,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-200a-3p,-0.081,1.762,0.057,-0.302,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-27b-3p,-0.051,1.771,0.103,-0.544,FALSE,FALSE,FALSE
hsa-miR-18a-5p + hsa-miR-19b-3p,-0.160,1.777,0.036,-0.244,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-92a-3p,-0.167,1.784,0.374,-0.033,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-452-5p,-0.055,1.785,0.389,-0.258,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-506-3p,-0.491,1.785,0.127,0.190,FALSE,FALSE,FALSE
hsa-miR-34b-5p + hsa-miR-92a-3p,-0.239,1.789,0.120,0.074,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-204-5p,-0.055,1.802,0.394,-0.394,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-873-5p,-0.047,1.806,0.064,-0.205,FALSE,FALSE,FALSE
