combination,nl_synergy,combination_index,nl_synergy_pvalue,cbca_improvement,same_family,dual_positive,selected_for_dose_response
hsa-miR-135b-5p + hsa-miR-27b-3p,0.108,0.608,0.203,0.042,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-449b-5p,0.066,0.614,0.153,0.183,FALSE,FALSE,FALSE
hsa-miR-10b-5p + hsa-miR-135b-5p,0.103,0.617,0.238,0.080,FALSE,FALSE,FALSE
hsa-miR-135b-5p + hsa-miR-340-5p,0.106,0.622,0.268,0.101,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-452-5p,0.153,0.625,0.049,-0.077,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-449a,0.194,0.625,0.180,0.134,FALSE,FALSE,FALSE
hsa-miR-107 + hsa-miR-363-3p,0.228,0.625,0.258,-0.005,FALSE,FALSE,FALSE
hsa-miR-106a-5p + hsa-miR-193b-3p,0.063,0.633,0.140,-0.151,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-34b-5p,0.310,0.636,0.084,0.123,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-449b-5p,0.058,0.643,0.083,0.182,FALSE,FALSE,FALSE
hsa-miR-340-5p + hsa-miR-449b-5p,0.096,0.645,0.397,0.184,FALSE,FALSE,FALSE
hsa-miR-429 + hsa-miR-93-5p,0.119,0.649,0.043,-0.185,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-2110,0.102,0.649,0.082,0.168,FALSE,FALSE,FALSE
hsa-miR-3714 + hsa-miR-3937,0.407,0.652,0.051,0.149,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-2110,0.133,0.656,0.075,0.167,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-2110,0.130,0.657,0.227,0.123,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-93-5p,0.129,0.659,0.059,-0.121,FALSE,FALSE,FALSE
hsa-miR-128-3p + hsa-miR-3714,0.289,0.660,0.252,0.152,FALSE,FALSE,FALSE
hsa-miR-20b-5p + hsa-miR-429,0.114,0.660,0.127,-0.149,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-93-5p,0.118,0.682,0.147,0.143,FALSE,FALSE,FALSE
hsa-miR-200c-3p + hsa-miR-20a-5p,0.115,0.685,0.161,-0.107,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-93-5p,0.365,0.686,0.078,0.071,FALSE,FALSE,FALSE
hsa-miR-2110 + hsa-miR-873-5p,0.058,0.691,0.053,0.179,FALSE,FALSE,FALSE
hsa-miR-19b-3p + hsa-miR-3714,0.242,0.698,0.322,0.064,FALSE,FALSE,FALSE
hsa-miR-18b-5p + hsa-miR-429,0.139,0.705,0.040,-0.001,FALSE,FALSE,FALSE
hsa-miR-363-3p + hsa-miR-449a,0.133,0.709,0.201,0.110,FALSE,FALSE,FALSE
hsa-miR-17-5p + hsa-miR-506-3p,0.448,0.714,0.159,0.103,FALSE,FALSE,FALSE
hsa-miR-124-3p + hsa-miR-27a-3p,0.319,0.714,0.073,0.171,FALSE,FALSE,FALSE
hsa-miR-143-5p + hsa-miR-27a-3p,0.042,0.716,0.535,-0.221,FALSE,FALSE,FALSE
hsa-miR-10a-5p + hsa-miR-452-5p,0.026,0.719,0.121,-0.056,FALSE,FALSE,FALSE
hsa-miR-20a-5p + hsa-miR-429,0.085,0.721,0.127,-0.287,FALSE,FALSE,FALSE
hsa-miR-27a-3p + hsa-miR-93-5p,0.047,0.723,0.258,-0.332,FALSE,FALSE,FALSE
hsa-miR-137 + hsa-miR-143-5p,0.097,0.724,0.516,0.153,FALSE,FALSE,FALSE
hsa-miR-200a-3p + hsa-miR-34b-5p,0.205,0.725,0.172,0.139,FALSE,FALSE,FALSE
